src_ip,dst_ip,src_port,dst_port,protocol,timestamp,packets,bytes,duration_ms,flags,failed_conn_info,label
8.6.0.1,8.0.6.4,0,0,OTHER,2017-07-03T00:00:00Z,231,0,119719.148,NONE,NA,BENIGN
192.168.10.17,224.0.0.251,5353,5353,UDP,2017-07-03T00:00:00Z,267,33223,87222.64,NONE,NA,BENIGN
192.168.10.50,45.76.92.117,123,123,UDP,2017-07-03T00:00:00Z,15,720,75107.449,NONE,NA,BENIGN
192.168.10.12,192.168.10.3,0,0,OTHER,2017-07-03T00:00:00Z,12,0,110567.461,NONE,NA,BENIGN
192.168.10.17,91.189.91.157,123,123,UDP,2017-07-03T00:00:00Z,4,192,64036.882,NONE,NA,BENIGN
192.168.10.17,91.189.89.198,123,123,UDP,2017-07-03T00:00:00Z,4,192,67094.672,NONE,NA,BENIGN
192.168.10.12,192.168.10.255,138,138,UDP,2017-07-03T00:00:00Z,24,5316,0.04,NONE,NA,BENIGN
192.168.10.12,72.21.91.29,56530,80,TCP,2017-07-03T00:00:00Z,30,2470,111898.005,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.50,208.75.89.4,123,123,UDP,2017-07-03T00:00:00Z,3,144,67999.972,NONE,NA,BENIGN
192.168.10.17,208.79.89.249,123,123,UDP,2017-07-03T00:00:00Z,4,192,67078.032,NONE,NA,BENIGN
192.168.10.9,172.217.10.238,1094,443,TCP,2017-07-03T00:00:00Z,109,86132,118074.1,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.25,192.168.10.255,138,138,UDP,2017-07-03T00:00:00Z,11,2376,0.019,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60237,53,UDP,2017-07-03T00:00:00Z,2,125,60.644,NONE,NA,BENIGN
192.168.10.12,45.79.11.217,123,123,UDP,2017-07-03T00:00:01Z,4,192,69057.612,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61273,53,UDP,2017-07-03T00:00:01Z,2,102,0.52,NONE,NA,BENIGN
192.168.10.16,99.224.25.39,123,123,UDP,2017-07-03T00:00:01Z,16,768,69975.674,NONE,NA,BENIGN
192.168.10.50,152.2.133.52,123,123,UDP,2017-07-03T00:00:01Z,4,192,66045.2,NONE,NA,BENIGN
192.168.10.17,208.75.89.4,123,123,UDP,2017-07-03T00:00:01Z,4,192,66077.743,NONE,NA,BENIGN
192.168.10.16,192.168.10.255,8612,8610,UDP,2017-07-03T00:00:01Z,24,384,10.119,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,60689,53,UDP,2017-07-03T00:00:01Z,2,162,30.404,NONE,NA,BENIGN
192.168.10.14,172.217.12.206,49525,80,TCP,2017-07-03T00:00:01Z,34,3529,116229.204,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.14,172.217.12.161,49613,443,TCP,2017-07-03T00:00:01Z,75,32077,70317.083,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.12,216.218.254.202,123,123,UDP,2017-07-03T00:00:01Z,4,192,69081.165,NONE,NA,BENIGN
192.168.10.50,129.6.15.28,123,123,UDP,2017-07-03T00:00:01Z,4,192,69029.964,NONE,NA,BENIGN
192.168.10.50,204.2.134.163,123,123,UDP,2017-07-03T00:00:01Z,4,192,66094.423,NONE,NA,BENIGN
192.168.10.50,192.168.10.3,123,123,UDP,2017-07-03T00:00:02Z,8,384,67000.288,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,61201,53,UDP,2017-07-03T00:00:02Z,2,112,30.415,NONE,NA,BENIGN
192.168.10.14,192.168.10.3,61428,53,UDP,2017-07-03T00:00:02Z,4,324,64.856,NONE,NA,BENIGN
192.168.10.3,192.168.10.1,62207,53,UDP,2017-07-03T00:00:02Z,2,166,30.519,NONE,NA,BENIGN
192.168.10.14,72.30.2.182,49697,443,TCP,2017-07-03T00:00:02Z,35,6101,117774.384,"SYN,ACK,PSH",CLEAN,BENIGN
192.168.10.3,192.168.10.1,62171,53,UDP,2017-07-03T00:00:02Z,2,303,127.071,NONE,NA,BENIGN
